Year when drafted,Round drafted,Overall pick,Name,Position,Organization,school,age when drafted ,Birth date,Bats,Throws ,education type,Drafted before,Minor-League level started at,if the player appeared in rookie leagues,Number of games played in Rookie Leagues,Number of plate appearances in Rookie Leagues,If the player appeared in Short-Season-A,Number of games played in Short-Season-A,Number of plate appearances in Short-Season-A,If the player appeared in Low-A ,Number of games played in Low-A ,Number of plate appearances in Low-A,If the player appeared in High-A,Number of games played in High-A,Number of plate appearances in High-A,If the player appeared in Double-A,Number of games played in Double-A,Number of plate appearances in Double-A ,If the player appeared in Triple-A,"Number of games played in Triple-A	",Number of plate appearances in Triple-A ,If the player appeared in the Major Leagues,Number of seasons spent in the minor leagues    ,Total number of games played in the minor leagues,Total number of plate appearances in the minor leagues  ,Total games played in Short-Season and lower levels,Total plate appearances in Short-Season and lower levels,Total games played in Low-A and lower levels,Total plate appearances in Low-A and lower levels,Total games played in High-A and lower levels,Total plate appearances in High-A and lower levels,"Total games played in Double-A and lower levels	",Total plate appearances in Double-A and lower levels,"Total games played in Triple-A and lower levels	",Total plate appearances in Triple-A and lower levels,Average plate appearances per game
1992,9,258,Scott Malone,Outfield,Rangers,Texas Christian University,21,04/16/71,Left,Right,College,No,Rookie,Yes,75,280, , , ,Yes,130,517,Yes,200,733, , , , , , ,No,4,405,1530,75,280,205,797,405,1530,405,1530,405,1530,3.78
2006,21,627,Sean Smith,Second Base,Diamondba,"UC Los Angeles, CA",23,03/06/83,Right,Right,College,No,Rookie,Yes,41,155, , , , , , , , , , , , , , , ,No,1,41,155,41,155,41,155,41,155,41,155,41,155,3.78
1992,38,1066,T.J. O'Donnell,Shortstop,Red Sox,Old Dominion University,22,10/07/70,Right,Right,College,Yes,Rookie,Yes,10,34,Yes,105,408, , , ,Yes,8,23, , , , , , ,No,3,123,465,115,442,115,442,123,465,123,465,123,465,3.78
1999,33,1001,Timothy Boeth,Second Base,Angels,University of Central Florida,23,11/03/76,Right,Right,College,Yes,Short-Season, , , ,Yes,51,193, , , , , , , , , , , , ,No,1,51,193,51,193,51,193,51,193,51,193,51,193,3.78
1994,3,68,Todd Cady,Catcher,Marlins,Arizona State University,22,11/25/72,Switch,Right,College,Yes,Short-Season, , , ,Yes,44,172,Yes,115,434,Yes,101,378, , , , , , ,No,3,260,984,44,172,159,606,260,984,260,984,260,984,3.78
1999,14,441,Todd Mitchell,Shortstop,Yankees,Illinois State University,21,08/12/78,Right,Right,College,No,Short-Season, , , ,Yes,65,269,Yes,53,177, , , , , , , , , ,No,2,118,446,65,269,118,446,118,446,118,446,118,446,3.78
1997,46,1348,Tom Bernhardt,Outfield,Cubs,Louisiana State University,23,10/28/74,Right,Right,College,Yes,Rookie,Yes,8,39,Yes,38,135, , , , , , , , , , , , ,No,1,46,174,46,174,46,174,46,174,46,174,46,174,3.78
2002,15,443,Tom Merkle,Third Base,Marlins,New York Technical College,22,08/04/80,Right,Right,College,No,Short-Season, , , ,Yes,12,47,Yes,88,335,Yes,44,162, , , , , , ,No,3,144,544,12,47,100,382,144,544,144,544,144,544,3.78
1994,13,366,Torrey Pettiford,Second Base,Phillies,Pembroke State University,21,05/30/73,Right,Right,College,No,Rookie,Yes,39,155,Yes,49,181,Yes,74,277, , , , , , , , , ,No,3,162,613,88,336,162,613,162,613,162,613,162,613,3.78
1999,19,587,Travis Santini,Outfield,Indians,"Lely HS (Naples,FL)",19,11/23/80,Right,Right,High School, ,Rookie,Yes,44,179,Yes,34,118,Yes,52,194, , , , , , , , , ,No,3,130,491,78,297,130,491,130,491,130,491,130,491,3.78
2003,34,1002,Walter Sevilla,Second Base,Royals,U Tennessee (TN),22,08/24/81,Right,Right,College,Yes,Rookie,Yes,40,166, , , ,Yes,82,288,Yes,79,313,Yes,50,183, , , ,No,4,251,950,40,166,122,454,201,767,251,950,251,950,3.78
2005,47,1420,Adam Morris,Third Base,Cardinals,"Rice U, TX",23,12/01/82,Right,Right,College,No,Rookie,Yes,30,115,Yes,34,126, , , , , , , , , , , , ,No,2,64,241,64,241,64,241,64,241,64,241,64,241,3.77
1996,42,1256,Alain Cruz,Third Base,Yankees,Miami-Dade Community College,21,07/03/75,Right,Right,College,Yes,Rookie,Yes,46,182, , , , , , ,Yes,10,29, , , , , , ,No,2,56,211,46,182,46,182,56,211,56,211,56,211,3.77
1996,3,88,Alex Cora,Shortstop,Dodgers,University of Miami (FL),21,10/18/75,Left,Right,College,Yes,High-A, , , , , , , , , ,Yes,61,226,Yes,127,473,Yes,81,314,Yes,3,269,1013,0,0,0,0,61,226,188,699,269,1013,3.77
1995,28,760,Alex Llanos,Second Base,Angels,Lola Rorriguez De Tio HS (Carolina,19,09/20/76,Left,Right,High School,No,Rookie,Yes,126,469,Yes,54,214,Yes,5,15, , , , , , , , , ,No,5,185,698,180,683,185,698,185,698,185,698,185,698,3.77
2003,18,541,Andrew Ellis,Catcher,Dodgers,Austin Peay St U (TN),22,04/09/81,Right,Right,College,No,Low-A, , , , , , ,Yes,3,6,Yes,97,344,Yes,190,744, , , ,Active,5,290,1094,0,0,3,6,100,350,290,1094,290,1094,3.77
1992,35,982,Andrew Moore,Second Base,Red Sox,Bridgewater College,22,11/13/70,Right,Right,College,No,Short-Season, , , ,Yes,66,249, , , , , , , , , , , , ,No,2,66,249,66,249,66,249,66,249,66,249,66,249,3.77
2006,13,395,Andrew Saylor,Second Base,Marlins,"Kent St U, OH",22,01/09/84,Right,Right,College,No,Short-Season,Yes,6,24,Yes,46,172, , , , , , , , , , , , ,Active,2,52,196,52,196,52,196,52,196,52,196,52,196,3.77
1999,6,182,B.J. Barns,Outfield,Pirates,Duquesne University,22,07/21/77,Left,Right,College,No,Short-Season, , , ,Yes,14,62,Yes,52,199,Yes,358,1390,Yes,106,349, , , ,No,5,530,2000,14,62,66,261,424,1651,530,2000,530,2000,3.77
1995,14,389,Barry Wesson,Outfield,Astros,"Brandon HS (Brandon,MS)",18,04/06/77,Right,Right,High School,No,Rookie,Yes,45,160,Yes,113,415,Yes,138,533,Yes,196,734,Yes,176,655,Yes,111,439,Yes,8,779,2936,158,575,296,1108,492,1842,668,2497,779,2936,3.77
2002,5,140,Bo Flowers,Outfield,Tigers,"Walther Lutheran HS (Maywood,IL)",19,11/12/83,Right,Right,High School,No,Rookie,Yes,41,146,Yes,103,398,Yes,111,417, , , , , , , , , ,No,4,255,961,144,544,255,961,255,961,255,961,255,961,3.77
1995,46,1267,Brad Schwartzbau,Third Base,Rockies,White Bear Lake Area HS (White Bea,18,05/04/77,Left,Right,High School,No,Rookie,Yes,43,173,Yes,50,193,Yes,107,402,Yes,58,205, , , , , , ,No,4,258,973,93,366,200,768,258,973,258,973,258,973,3.77
1995,40,1097,Brian Jacobus,Outfield,Padres,"Rogers HS (Puyallup,WA)",19,06/08/76,Left,Left,High School,No,Rookie,Yes,94,354, , , , , , , , , , , , , , , ,No,2,94,354,94,354,94,354,94,354,94,354,94,354,3.77
1992,15,415,Byron Bradley,Third Base,Cubs,Indiana University,22,11/15/70,Right,Right,College,No,Short-Season, , , ,Yes,48,183,Yes,49,191,Yes,5,11, , , , , , ,No,3,102,385,48,183,97,374,102,385,102,385,102,385,3.77
1997,10,323,Casey Cuntz,Shortstop,Diamondba,Louisiana State University,22,02/04/75,Right,Right,College,No,Low-A, , , , , , ,Yes,49,196,Yes,133,491, , , , , , ,No,3,182,687,0,0,49,196,182,687,182,687,182,687,3.77
1996,7,187,Chad Moeller,Catcher,Twins,University of Southern California,21,02/18/75,Right,Right,College,Yes,Rookie,Yes,17,77, , , ,Yes,108,432,Yes,66,285,Yes,147,482,Yes,47,176,Yes,5,385,1452,17,77,125,509,191,794,338,1276,385,1452,3.77
2001,33,997,Chad Peshke,Second Base,Indians,University of California-Santa Bar,22,09/10/79,Right,Right,College,No,Short-Season, , , ,Yes,52,187,Yes,97,374, , , , , , , , , ,No,2,149,561,52,187,149,561,149,561,149,561,149,561,3.77
1992,14,378,Chad Townsend,First Base,Indians,University of California-Riverside,21,07/04/71,Left,Left,College,No,Rookie,Yes,44,148, , , ,Yes,104,337,Yes,244,993,Yes,116,435, , , ,No,5,508,1913,44,148,148,485,392,1478,508,1913,508,1913,3.77
1992,10,292,Chris Sheff,Outfield,Marlins,Pepperdine University,21,02/04/71,Right,Right,College,No,Short-Season, , , ,Yes,57,225,Yes,129,514,Yes,32,135,Yes,264,1087,Yes,658,2342,No,10,1140,4303,57,225,186,739,218,874,482,1961,1140,4303,3.77
1992,8,215,Chris Wimmer,Shortstop,Giants,Wichita State University,22,09/25/70,Right,Right,College,Yes,High-A, , , , , , , , , ,Yes,123,535,Yes,314,1234,Yes,296,993,No,7,733,2762,0,0,0,0,123,535,437,1769,733,2762,3.77
2005,3,90,Christopher Robi,Catcher,Tigers,"U Illinois Champaign, IL",21,05/12/84,Right,Right,College,Yes,Short-Season, , , ,Yes,4,15,Yes,41,165,Yes,107,408,Yes,89,320, , , ,Active,3,241,908,4,15,45,180,152,588,241,908,241,908,3.77
2002,33,974,Coltyn Simmons,Outfield,Devil Ray,Durango HS (Las Vegas),19,12/04/83,Right,Right,High School,No,Rookie,Yes,81,292, , , ,Yes,155,584,Yes,94,369, , , , , , ,No,5,330,1245,81,292,236,876,330,1245,330,1245,330,1245,3.77
1993,12,338,Darrick Duke,Outfield,Padres,University of Texas,22,03/31/71,Right,Right,College,Yes,Short-Season, , , ,Yes,49,168,Yes,114,446, , , , , , , , , ,No,2,163,614,49,168,163,614,163,614,163,614,163,614,3.77
1995,23,628,Dave Elliott,Outfield,Brewers,Western Michigan University,22,08/10/73,Right,Right,College,Yes,Rookie,Yes,54,205, , , ,Yes,188,724,Yes,121,441,Yes,123,463, , , ,No,5,486,1833,54,205,242,929,363,1370,486,1833,486,1833,3.77
1998,6,182,Dave Matranga,Shortstop,Astros,Pepperdine University,21,01/08/77,Right,Right,College,No,Short-Season, , , ,Yes,40,169, , , ,Yes,124,540,Yes,223,853,Yes,207,679,Yes,6,594,2241,40,169,40,169,164,709,387,1562,594,2241,3.77
2004,36,1077,David Hicks,First Base,Blue Jays,North Carolina St U (NC),23,11/22/81,Left,Left,College,No,Rookie,Yes,36,154,Yes,16,41,Yes,215,812, , , , , , , , , ,No,3,267,1007,52,195,267,1007,267,1007,267,1007,267,1007,3.77
2003,11,316,Douglas Clark,Catcher,Rangers,Wichita State University,22,09/14/81,Right,Right,College,Yes,Short-Season, , , ,Yes,38,138,Yes,135,517,Yes,45,171, , , ,Yes,3,8,Active,5,221,834,38,138,173,655,218,826,218,826,221,834,3.77
1998,27,809,Eric Battersby,First Base,White Sox,St. Mary's University,22,02/28/76,Right,Left,College,No,Rookie,Yes,43,165, , , ,Yes,132,555, , , ,Yes,347,1254,Yes,55,200,No,6,577,2174,43,165,175,720,175,720,522,1974,577,2174,3.77
2003,33,992,Eric Macha,Third Base,Athletics,Case Western Reserve U (OH),22,01/22/81,Right,Right,College,No,Rookie,Yes,43,162, , , , , , , , , , , , , , , ,No,1,43,162,43,162,43,162,43,162,43,162,43,162,3.77
2004,22,655,Ethien Santana,Outfield,Royals,Laredo JC (TX),20,01/25/84,Left,Left,College,Yes,Rookie,Yes,115,496, , , ,Yes,107,347,Yes,13,42, , , , , , ,Active,4,235,885,115,496,222,843,235,885,235,885,235,885,3.77
1996,17,491,George Restovich,Outfield,Tigers,University of Notre Dame,23,09/12/73,Left,Right,College,No,Short-Season, , , ,Yes,48,181, , , , , , , , , , , , ,No,1,48,181,48,181,48,181,48,181,48,181,48,181,3.77
1993,26,732,Greg Deares,Outfield,Cardinals,George Mason University,22,04/22/71,Left,Right,College,No,Short-Season, , , ,Yes,69,275,Yes,65,253,Yes,20,53, , , , , , ,No,3,154,581,69,275,134,528,154,581,154,581,154,581,3.77
1993,17,471,Greg Patton,Shortstop,Red Sox,George Washington University,21,03/08/72,Right,Right,College,No,Rookie,Yes,4,18,Yes,54,194,Yes,69,257,Yes,155,596,Yes,6,20, , , ,No,5,288,1085,58,212,127,469,282,1065,288,1085,288,1085,3.77
1998,8,241,Jason  Hill,Catcher,Angels,University of California-Berkeley,21,03/17/77,Right,Right,College,No,Short-Season, , , ,Yes,57,225,Yes,111,426,Yes,70,256,Yes,610,2289,Yes,72,268,Active,10,920,3464,57,225,168,651,238,907,848,3196,920,3464,3.77
2001,8,249,Jeff Ellena,Shortstop,Mariners,Cal Poly Pomona University,22,11/03/79,Right,Right,College,Yes,Low-A, , , , , , ,Yes,48,181, , , , , , , , , ,No,1,48,181,0,0,48,181,48,181,48,181,48,181,3.77
2002,20,609,Jeff Stanek,First Base,Diamondba,Southern Illinois University,22,08/18/80,Left,Right,College,No,Rookie,Yes,71,300, , , ,Yes,83,293,Yes,20,63, , , , , , ,No,2,174,656,71,300,154,593,174,656,174,656,174,656,3.77
1995,12,328,John Curl,First Base,Blue Jays,Texas A&M University,23,11/10/72,Left,Right,College,No,Rookie,Yes,69,301, , , , , , ,Yes,199,746,Yes,299,1183,Yes,111,327,No,7,678,2557,69,301,69,301,268,1047,567,2230,678,2557,3.77
1996,45,1336,John Zydowsky,Shortstop,Braves,"Portage HS (Pardeeville,WI)",18,04/18/78,Right,Right,High School,No,Rookie,Yes,144,543, , , , , , , , , , , , , , , ,No,3,144,543,144,543,144,543,144,543,144,543,144,543,3.77
1998,4,119,Johnny Santamari,Third Base,White Sox,"Gulliver Prep HS (Miami,FL)",19,10/03/79,Left,Right,High School,No,Rookie,Yes,111,437, , , ,Yes,152,556,Yes,17,63, , , , , , ,No,5,280,1056,111,437,263,993,280,1056,280,1056,280,1056,3.77
1995,8,219,Jon Tucker,First Base,Dodgers,"Chatsworth HS (Northridge,CA)",19,12/17/76,Left,Left,High School,No,Short-Season,Yes,48,189,Yes,41,128,Yes,14,53,Yes,124,468,Yes,237,910, , , ,No,5,464,1748,89,317,103,370,227,838,464,1748,464,1748,3.77
1995,49,1335,Justin Drizos,First Base,Rockies,University of Nevada-Reno,22,12/08/73,Left,Left,College,No,Short-Season, , , ,Yes,114,448,Yes,127,508,Yes,57,166, , , , , , ,No,3,298,1122,114,448,241,956,298,1122,298,1122,298,1122,3.77
2001,22,656,Justin Humphries,Catcher,Astros,"Episcopal HS (Richmond,TX)",18,02/24/83,Right,Right,High School,No,Rookie,Yes,70,243, , , ,Yes,200,779,Yes,35,128, , , , , , ,No,5,305,1150,70,243,270,1022,305,1150,305,1150,305,1150,3.77
2000,2,66,Kenneth Folsom,Outfield,Indians,"West Orange HS (Winter Garden,FL)",19,06/07/81,Right,Right,High School,No,Rookie,Yes,80,303, , , ,Yes,91,342, , , , , , , , , ,No,3,171,645,80,303,171,645,171,645,171,645,171,645,3.77
1999,26,778,Kevin Burns,Outfield,Diamondba,Troy State University,23,11/10/76,Left,Left,College,No,Rookie,Yes,20,79, , , ,Yes,153,617,Yes,74,278,Yes,157,550, , , ,No,5,404,1524,20,79,173,696,247,974,404,1524,404,1524,3.77
1997,11,326,Kevin Kurilla,Shortstop,Phillies,Virginia Tech University,22,02/21/75,Right,Right,College,Yes,Short-Season, , , ,Yes,60,226,Yes,53,200, , , , , , , , , ,No,2,113,426,60,226,113,426,113,426,113,426,113,426,3.77
2003,18,539,Kevin Vital,First Base,Astros,Southern U (LA),23,02/09/80,Left,Right,College,No,Rookie,Yes,46,187,Yes,60,210,Yes,61,233, , , , , , , , , ,No,3,167,630,106,397,167,630,167,630,167,630,167,630,3.77
1993,28,784,Klint Klaas,Second Base,Astros,Iowa Western Community College,21,12/01/72,Right,Right,College,No,Short-Season, , , ,Yes,35,132, , , , , , , , , , , , ,No,1,35,132,35,132,35,132,35,132,35,132,35,132,3.77
1996,4,96,Lee Evans,Catcher,Pirates,"Tuscaloosa County HS (Northport,AL",19,07/20/77,Switch,Right,High School,No,Rookie,Yes,32,129,Yes,40,152,Yes,152,565,Yes,207,798,Yes,248,950,Yes,158,559,No,10,837,3153,72,281,224,846,431,1644,679,2594,837,3153,3.77
1993,21,591,Leland Macon,Outfield,Rangers,St. Louis Community College at Mer,20,05/04/73,Right,Right,College,Yes,Rookie,Yes,56,207, , , ,Yes,126,478,Yes,218,823, , , , , , ,No,4,400,1508,56,207,182,685,400,1508,400,1508,400,1508,3.77
2003,25,749,Mario Garza,Catcher,Astros,U Florida (FL),22,05/26/81,Left,Right,College,No,Rookie,Yes,24,93,Yes,66,275,Yes,29,105,Yes,166,601, , , , , , ,No,4,285,1074,90,368,119,473,285,1074,285,1074,285,1074,3.77
1999,22,660,Matt Brown,Third Base,Expos,Eastern Randolph Sr. HS (Randleman,19,09/23/80,Right,Right,High School,No,Rookie,Yes,74,282,Yes,53,212,Yes,102,374,Yes,3,6, , , , , , ,No,4,232,874,127,494,229,868,232,874,232,874,232,874,3.77
1996,8,244,Matt Quatraro,Catcher,Devil Ray,Old Dominion University,23,11/14/73,Right,Right,College,No,Rookie,Yes,59,269, , , ,Yes,78,312,Yes,161,584,Yes,82,292,Yes,35,106,No,7,415,1563,59,269,137,581,298,1165,380,1457,415,1563,3.77
2005,4,135,Michael Moore,Catcher,Twins,"East Tennessee St U, TN",22,05/17/83,Right,Right,College,No,Rookie,Yes,34,134, , , ,Yes,68,269,Yes,76,268, , , , , , ,Active,3,178,671,34,134,102,403,178,671,178,671,178,671,3.77
2002,12,354,Micheal Kenning,Outfield,Angels,New Mexico State University,22,11/10/80,Left,Left,College,No,Rookie,Yes,94,354, , , , , , , , , , , , , , , ,No,2,94,354,94,354,94,354,94,354,94,354,94,354,3.77
1992,8,219,Mike Hubbard,Catcher,Cubs,James Madison University,21,02/16/71,Right,Right,College,No,Short-Season, , , ,Yes,50,190, , , ,Yes,68,263,Yes,104,386,Yes,75,280,Yes,4,297,1119,50,190,50,190,118,453,222,839,297,1119,3.77
1993,2,68,Mike Moschetti,Shortstop,Athletics,La Mirada HS (CA),18,03/14/75,Right,Right,High School,No,Rookie,Yes,30,110,Yes,98,382,Yes,8,25,Yes,23,83, , , , , , ,No,3,159,600,128,492,136,517,159,600,159,600,159,600,3.77
1995,4,104,Mike Whitlock,First Base,Blue Jays,San Lorenzo HS (CA),19,12/14/76,Left,Right,High School,No,Rookie,Yes,54,209,Yes,45,138,Yes,131,532,Yes,107,391, , , , , , ,No,4,337,1270,99,347,230,879,337,1270,337,1270,337,1270,3.77
1993,16,464,Nate Holdren,First Base,Rockies,University of Michigan,22,12/08/71,Right,Right,College,Yes,Short-Season, , , ,Yes,62,227,Yes,111,405,Yes,233,909,Yes,35,123, , , ,No,5,441,1664,62,227,173,632,406,1541,441,1664,441,1664,3.77
2000,3,79,Omar Falcon,Catcher,Padres,"Southridge (Miami,FL)",18,09/01/82,Right,Right,High School,No,Rookie,Yes,132,503,Yes,78,296,Yes,78,305,Yes,83,303,Yes,8,20, , , ,Active,8,379,1427,210,799,288,1104,371,1407,379,1427,379,1427,3.77
2002,24,718,Pat Boran,Outfield,Red Sox,Princeton University,22,08/08/80,Right,Right,College,No,Short-Season,Yes,9,31,Yes,53,214, , , ,Yes,75,272, , , , , , ,No,4,137,517,62,245,62,245,137,517,137,517,137,517,3.77
1994,1,17,Ramon Castro,Catcher,Astros,"Lino Padron Rivera HS (Vega Baja,P",18,03/01/76,Right,Right,High School,No,Rookie,Yes,37,140,Yes,63,248,Yes,96,345,Yes,151,589,Yes,79,277,Yes,97,373,Yes,6,523,1972,100,388,196,733,347,1322,426,1599,523,1972,3.77
2002,12,364,Randall Longwort,Outfield,Indians,"JJ Kelly HS (Wise,Va)",19,06/11/83,Right,Right,High School,No,Rookie,Yes,85,311,Yes,25,105,Yes,57,214, , , , , , , , , ,No,3,167,630,110,416,167,630,167,630,167,630,167,630,3.77
1994,31,861,Randy Vickers,Shortstop,Mariners,Glendale Community College (CA),19,07/21/75,Right,Right,College,No,Rookie,Yes,20,57,Yes,103,423,Yes,127,463, , , , , , , , , ,No,4,250,943,123,480,250,943,250,943,250,943,250,943,3.77
1992,6,158,Ray Suplee,Outfield,Yankees,University of Georgia,22,12/15/70,Right,Right,College,Yes,Short-Season, , , ,Yes,63,255,Yes,90,383,Yes,315,1127, , , , , , ,No,6,468,1765,63,255,153,638,468,1765,468,1765,468,1765,3.77
1993,19,537,Rich Carone,Outfield,White Sox,University of Mississippi,22,01/17/71,Right,Right,College,No,Rookie,Yes,27,96, , , ,Yes,178,673,Yes,7,30, , , , , , ,No,4,212,799,27,96,205,769,212,799,212,799,212,799,3.77
1999,19,592,Richard Huff,Catcher,Padres,Mesa State College,22,07/08/77,Right,Right,College,No,Rookie,Yes,30,125, , , ,Yes,61,225, , , ,Yes,4,8, , , ,No,2,95,358,30,125,91,350,91,350,95,358,95,358,3.77
1994,14,378,Robert Jones,Outfield,Rockies,University of Kentucky,23,07/13/71,Right,Right,College,No,Short-Season, , , ,Yes,52,212,Yes,16,65,Yes,131,473, , , , , , ,No,3,199,750,52,212,68,277,199,750,199,750,199,750,3.77
1999,10,296,Scott Goodman,Outfield,Marlins,Arizona State University,22,08/15/77,Left,Left,College,Yes,Short-Season, , , ,Yes,68,264,Yes,129,496,Yes,34,111, , , , , , ,No,3,231,871,68,264,197,760,231,871,231,871,231,871,3.77
1993,16,463,Scott Southard,Shortstop,Marlins,University of South Alabama,22,10/14/71,Right,Right,College,No,Short-Season, , , ,Yes,74,305,Yes,95,350,Yes,68,239, , , , , , ,No,3,237,894,74,305,169,655,237,894,237,894,237,894,3.77
1995,17,457,Steve Goodell,Shortstop,Marlins,Arizona State University,20,04/23/75,Right,Right,College,Yes,Short-Season, , , ,Yes,69,289,Yes,88,321,Yes,172,660,Yes,272,994, , , ,No,7,601,2264,69,289,157,610,329,1270,601,2264,601,2264,3.77
1992,44,1223,Todd Harris,Outfield,Giants,Spartanburg Methodist College,19,05/30/73,Right,Right,College,No,Rookie,Yes,48,181, , , , , , , , , , , , , , , ,No,1,48,181,48,181,48,181,48,181,48,181,48,181,3.77
1996,36,1061,Tom Runnells,Shortstop,Tigers,Greeley West HS (CO),18,02/15/78,Right,Right,High School,No,Rookie,Yes,48,176,Yes,63,257,Yes,88,317,Yes,6,22, , , , , , ,No,3,205,772,111,433,199,750,205,772,205,772,205,772,3.77
2000,4,113,Yadier Molina,Catcher,Cardinals,"Maestro Ladi (Vega Alta,PR)",18,07/13/82,Right,Right,High School,No,Rookie,Yes,44,170, , , ,Yes,112,414, , , ,Yes,104,389,Yes,37,146,Yes,4,297,1119,44,170,156,584,156,584,260,973,297,1119,3.77
2004,39,1175,Zak Farkes,Shortstop,Red Sox,Harvard U (MA),21,05/30/83,Right,Right,College,No,Short-Season, , , ,Yes,81,301,Yes,37,136,Yes,42,166, , , , , , ,Active,3,160,603,81,301,118,437,160,603,160,603,160,603,3.77
1998,43,1300,Adam Neubart,Outfield,Diamondba,Rutgers University,21,07/23/77,Right,Right,College,No,Rookie,Yes,6,22, , , ,Yes,61,239,Yes,120,443,Yes,13,48, , , ,No,4,200,752,6,22,67,261,187,704,200,752,200,752,3.76
1994,28,786,Adan Millan,Catcher,Phillies,Cal State Fullerton University,22,03/26/72,Right,Right,College,No,Short-Season, , , ,Yes,17,63,Yes,155,624,Yes,114,460,Yes,166,557,Yes,10,34,No,6,462,1738,17,63,172,687,286,1147,452,1704,462,1738,3.76
1995,34,944,Andrew McCormick,Outfield,Blue Jays,Grand Canyon University,22,06/21/73,Right,Right,College,Yes,Rookie,Yes,69,322, , , ,Yes,33,122,Yes,55,146, , , , , , ,No,2,157,590,69,322,102,444,157,590,157,590,157,590,3.76
2006,40,1215,Andrew Mead,Outfield,White Sox,"State U Col of New York C, NY",22,04/17/84,Right,Right,College,No,Rookie,Yes,92,346, , , , , , , , , , , , , , , ,Active,2,92,346,92,346,92,346,92,346,92,346,92,346,3.76
1992,12,327,Armond Anderson,Shortstop,Giants,"East St. John HS (Laplace,LA)",18,09/21/74,Right,Right,High School,No,Rookie,Yes,37,139, , , , , , , , , , , , , , , ,No,1,37,139,37,139,37,139,37,139,37,139,37,139,3.76
1995,23,636,Brian Bejarano,Third Base,Blue Jays,Central Arizona College,20,01/29/75,Right,Right,College,Yes,Rookie,Yes,105,395, , , , , , , , , , , , , , , ,No,2,105,395,105,395,105,395,105,395,105,395,105,395,3.76
1996,5,140,Brian Loyd,Catcher,Padres,Cal State Fullerton University,23,12/03/73,Right,Right,College,Yes,Low-A,Yes,6,20, , , ,Yes,83,321,Yes,117,463,Yes,259,975,Yes,71,235,No,8,536,2014,6,20,89,341,206,804,465,1779,536,2014,3.76
1992,14,390,Brian Wallace,Third Base,Mariners,University of Delaware,21,09/10/71,Right,Right,College,No,Short-Season, , , ,Yes,69,271,Yes,324,1209,Yes,25,90, , , , , , ,No,4,418,1570,69,271,393,1480,418,1570,418,1570,418,1570,3.76
1992,26,733,Bryan Spetter,Shortstop,Braves,Anderson University,21,12/31/71,Left,Right,College,No,Rookie,Yes,50,188, , , , , , , , , , , , , , , ,No,1,50,188,50,188,50,188,50,188,50,188,50,188,3.76
1996,17,510,Bubba Dresch,First Base,Reds,St. Mary's University,23,11/30/73,Left,Right,College,No,Rookie,Yes,34,128, , , , , , , , , , , , , , , ,No,1,34,128,34,128,34,128,34,128,34,128,34,128,3.76
1992,46,1285,Charlton Moore,Outfield,Phillies,Chicago State University,21,08/29/71,Right,Right,College,No,Rookie,Yes,58,227,Yes,16,51, , , , , , , , , , , , ,No,2,74,278,74,278,74,278,74,278,74,278,74,278,3.76
1997,37,1116,Chris Louwsma,Shortstop,Marlins,"Seminole HS (Sanford,FL)",19,12/25/78,Right,Right,High School,No,Rookie,Yes,77,284,Yes,115,438, , , , , , , , , , , , ,No,4,192,722,192,722,192,722,192,722,192,722,192,722,3.76
2002,20,591,Dan Street,First Base,Rockies,University of Virginia,22,10/27/80,Right,Right,College,No,Short-Season, , , ,Yes,79,305,Yes,30,105,Yes,10,37, , , , , , ,No,3,119,447,79,305,109,410,119,447,119,447,119,447,3.76
2006,32,971,David Uribes,Second Base,Indians,"Pepperdine U, CA",22,12/22/84,Switch,Right,College,No,Low-A, , , , , , ,Yes,49,184, , , , , , , , , ,Active,1,49,184,0,0,49,184,49,184,49,184,49,184,3.76
1996,20,581,Don DeDonatis,Shortstop,Tigers,Eastern Michigan University,21,06/23/75,Left,Right,College,No,Short-Season, , , ,Yes,42,158, , , , , , , , , , , , ,No,1,42,158,42,158,42,158,42,158,42,158,42,158,3.76
1992,5,131,Doug Mirabelli,Outfield,Giants,Wichita State University,22,10/18/70,Right,Right,College,Yes,High-A, , , , , , , , , ,Yes,166,644,Yes,240,893,Yes,37,129,Yes,5,443,1666,0,0,0,0,166,644,406,1537,443,1666,3.76
2002,19,561,Duke Sardinha,Third Base,Rockies,Pepperdine University,22,12/09/80,Right,Right,College,Yes,Rookie,Yes,41,156,Yes,26,110,Yes,51,208,Yes,117,451,Yes,76,248,Yes,1,1,Active,6,312,1174,67,266,118,474,235,925,311,1173,312,1174,3.76
1992,3,77,Dwight Maness,Outfield,Dodgers,"William Penn HS (New Castle,DE)",18,04/03/74,Right,Right,High School,No,Rookie,Yes,44,153, , , , , , ,Yes,294,1114,Yes,571,2164,Yes,6,10,No,9,915,3441,44,153,44,153,338,1267,909,3431,915,3441,3.76
1993,3,88,Eli Marrero,Catcher,Cardinals,"Coral Gables HS (Miami,FL)",20,11/17/73,Right,Right,High School,No,Rookie,Yes,18,73, , , ,Yes,116,460,Yes,107,406,Yes,116,406,Yes,112,420,Yes,5,469,1765,18,73,134,533,241,939,357,1345,469,1765,3.76
1993,37,1048,Gator McBride,Second Base,Braves,John A. Logan College,20,08/12/73,Right,Right,College,No,Rookie,Yes,49,155, , , ,Yes,81,325,Yes,157,631,Yes,130,456, , , ,No,6,417,1567,49,155,130,480,287,1111,417,1567,417,1567,3.76
